TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
3297,1680,1617,207,207,2901,2791,0,0,130,38,38,20,1010,135,479,68,435,55,0,2578,3169,11,50,115484,15,328,0,330,1884,952,3190,152,"Census Tract 173.05, San Diego County, California",6,73,17305
2164,1104,1060,97,97,1922,1859,0,0,143,0,0,13,726,67,426,84,154,0,0,1786,2080,0,24,150625,27,414,23,160,1255,599,2104,172,"Census Tract 173.06, San Diego County, California",6,73,17306
2344,1257,1087,153,153,2047,1720,9,0,436,0,0,25,770,159,250,129,207,0,0,1789,2145,0,66,104487,0,453,0,221,1190,686,2217,81,"Census Tract 173.07, San Diego County, California",6,73,17307
2885,1595,1290,210,210,2033,1563,30,0,1101,0,0,564,589,137,241,196,247,115,136,2006,2745,51,340,82782,70,548,0,348,1017,860,2430,179,"Census Tract 173.08, San Diego County, California",6,73,17308
4717,2543,2174,269,269,3962,3855,14,0,495,0,0,398,1542,222,478,390,667,68,27,3710,4555,4,83,150495,141,525,29,476,2404,1180,4669,427,"Census Tract 174.03, San Diego County, California",6,73,17403
4484,1871,2613,163,163,2944,2524,18,0,1749,0,0,0,532,256,521,185,499,88,493,2697,3927,57,1330,92128,82,810,13,637,1992,912,3817,156,"Census Tract 174.05, San Diego County, California",6,73,17405
3172,1586,1586,71,71,2917,2661,0,0,286,54,54,19,1092,78,274,250,465,28,61,2476,2873,40,196,101351,67,317,13,368,1225,851,3023,591,"Census Tract 174.06, San Diego County, California",6,73,17406
3162,1548,1614,36,36,2845,2676,0,0,380,0,0,55,879,75,423,193,507,0,0,2400,3001,79,249,142981,81,425,0,341,1519,823,3033,322,"Census Tract 174.07, San Diego County, California",6,73,17407
2158,1159,999,58,58,1766,1629,0,0,382,0,0,212,443,171,392,87,330,48,26,1748,2061,0,321,98942,35,403,30,181,1012,660,2086,228,"Census Tract 174.08, San Diego County, California",6,73,17408
2984,1501,1483,76,76,2663,2379,10,0,365,10,10,50,1187,252,354,206,315,45,53,2609,2955,55,146,121908,80,368,37,194,1474,1129,2764,159,"Census Tract 175.01, San Diego County, California",6,73,17501
3511,1852,1659,136,136,2794,2183,8,32,1005,53,53,85,1049,77,258,246,534,33,67,2595,3410,88,222,103981,31,335,70,443,1367,1078,3138,152,"Census Tract 175.02, San Diego County, California",6,73,17502
5354,2819,2535,274,274,4622,4457,0,0,393,23,23,157,1436,262,681,277,948,105,15,4247,5164,0,254,133491,17,542,0,494,3060,1213,4931,665,"Census Tract 176.01, San Diego County, California",6,73,17601
2991,1495,1496,37,37,2633,2109,15,0,763,20,20,164,815,141,315,122,257,108,45,2109,2804,0,157,153173,157,367,8,376,1416,892,2762,135,"Census Tract 176.03, San Diego County, California",6,73,17603
3746,1885,1861,111,111,3347,2658,0,0,946,0,0,257,667,206,522,387,299,0,93,2518,3553,18,181,81058,0,794,0,329,1709,870,3419,467,"Census Tract 176.05, San Diego County, California",6,73,17605
